Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2007/2008,Kindergartenstufe,Salenstein PG,männlich,Schweiz,3
2007/2008,Kindergartenstufe,Salenstein PG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Salenstein PG,weiblich,Schweiz,6
2007/2008,Kindergartenstufe,Salmsach PG,männlich,Ausland,4
2007/2008,Kindergartenstufe,Salmsach PG,männlich,Schweiz,7
2007/2008,Kindergartenstufe,Salmsach PG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Salmsach PG,weiblich,Schweiz,11
2007/2008,Kindergartenstufe,Schönenberg-Kradolf PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Schönenberg-Kradolf PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Schönenberg-Kradolf PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Schönenberg-Kradolf PSG,weiblich,Schweiz,16
2007/2008,Kindergartenstufe,Sirnach VSG,männlich,Ausland,20
2007/2008,Kindergartenstufe,Sirnach VSG,männlich,Schweiz,50
2007/2008,Kindergartenstufe,Sirnach VSG,weiblich,Ausland,13
2007/2008,Kindergartenstufe,Sirnach VSG,weiblich,Schweiz,53
2007/2008,Kindergartenstufe,Sommeri PSG,männlich,Schweiz,8
2007/2008,Kindergartenstufe,Sommeri PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Stachen PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Stachen PSG,männlich,Schweiz,5
2007/2008,Kindergartenstufe,Stachen PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Stachen PSG,weiblich,Schweiz,4
2007/2008,Kindergartenstufe,Steckborn PSG,männlich,Ausland,6
2007/2008,Kindergartenstufe,Steckborn PSG,männlich,Schweiz,27
2007/2008,Kindergartenstufe,Steckborn PSG,weiblich,Ausland,4
2007/2008,Kindergartenstufe,Steckborn PSG,weiblich,Schweiz,24
2007/2008,Kindergartenstufe,Stettfurt PSG,männlich,Schweiz,21
2007/2008,Kindergartenstufe,Stettfurt PSG,weiblich,Schweiz,15
2007/2008,Kindergartenstufe,Strohwilen-Wolfikon PSG,männlich,Schweiz,4
2007/2008,Kindergartenstufe,Strohwilen-Wolfikon PSG,weiblich,Schweiz,4
2007/2008,Kindergartenstufe,Sulgen PSG,männlich,Ausland,10
2007/2008,Kindergartenstufe,Sulgen PSG,männlich,Schweiz,27
2007/2008,Kindergartenstufe,Sulgen PSG,weiblich,Ausland,15
2007/2008,Kindergartenstufe,Sulgen PSG,weiblich,Schweiz,22
2007/2008,Kindergartenstufe,Tägerwilen VSG,männlich,Ausland,9
2007/2008,Kindergartenstufe,Tägerwilen VSG,männlich,Schweiz,29
2007/2008,Kindergartenstufe,Tägerwilen VSG,weiblich,Ausland,12
2007/2008,Kindergartenstufe,Tägerwilen VSG,weiblich,Schweiz,23
2007/2008,Kindergartenstufe,Thundorf PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Thundorf PSG,weiblich,Schweiz,8
2007/2008,Kindergartenstufe,Tobel-Tägerschen PG,männlich,Schweiz,9
2007/2008,Kindergartenstufe,Tobel-Tägerschen PG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Tobel-Tägerschen PG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Uesslingen PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Uesslingen PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Uttwil PSG,männlich,Ausland,5
2007/2008,Kindergartenstufe,Uttwil PSG,männlich,Schweiz,24
2007/2008,Kindergartenstufe,Uttwil PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Uttwil PSG,weiblich,Schweiz,9
2007/2008,Kindergartenstufe,Wagenhausen-Kaltenbach PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Wagenhausen-Kaltenbach PSG,männlich,Schweiz,9
2007/2008,Kindergartenstufe,Wagenhausen-Kaltenbach PSG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Wagenhausen-Kaltenbach PSG,weiblich,Schweiz,10
2007/2008,Kindergartenstufe,Wängi VSG,männlich,Ausland,7
2007/2008,Kindergartenstufe,Wängi VSG,männlich,Schweiz,58
2007/2008,Kindergartenstufe,Wängi VSG,weiblich,Ausland,8
2007/2008,Kindergartenstufe,Wängi VSG,weiblich,Schweiz,34
2007/2008,Kindergartenstufe,Warth-Weiningen PSG,männlich,Schweiz,12
2007/2008,Kindergartenstufe,Warth-Weiningen PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Weinfelden PSG,männlich,Ausland,18
2007/2008,Kindergartenstufe,Weinfelden PSG,männlich,Schweiz,64
2007/2008,Kindergartenstufe,Weinfelden PSG,weiblich,Ausland,19
2007/2008,Kindergartenstufe,Weinfelden PSG,weiblich,Schweiz,61
2007/2008,Kindergartenstufe,Wigoltingen VSG,männlich,Ausland,5
2007/2008,Kindergartenstufe,Wigoltingen VSG,männlich,Schweiz,33
2007/2008,Kindergartenstufe,Wigoltingen VSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Wigoltingen VSG,weiblich,Schweiz,23
2007/2008,Kindergartenstufe,Wilen bei Wil PSG,männlich,Schweiz,23
2007/2008,Kindergartenstufe,Wilen bei Wil PSG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Wilen bei Wil PSG,weiblich,Schweiz,30
2007/2008,Primar Mittelstufe,,männlich,Schweiz,2
2007/2008,Primar Mittelstufe,Aadorf VSG,männlich,Ausland,22
2007/2008,Primar Mittelstufe,Aadorf VSG,männlich,Schweiz,116
2007/2008,Primar Mittelstufe,Aadorf VSG,weiblich,Ausland,24
2007/2008,Primar Mittelstufe,Aadorf VSG,weiblich,Schweiz,122
2007/2008,Primar Mittelstufe,Affeltrangen PSG,männlich,Ausland,6
2007/2008,Primar Mittelstufe,Affeltrangen PSG,männlich,Schweiz,15
2007/2008,Primar Mittelstufe,Affeltrangen PSG,weiblich,Ausland,5
2007/2008,Primar Mittelstufe,Affeltrangen PSG,weiblich,Schweiz,5
2007/2008,Primar Mittelstufe,Altnau PSG,männlich,Ausland,4
2007/2008,Primar Mittelstufe,Altnau PSG,männlich,Schweiz,32
2007/2008,Primar Mittelstufe,Altnau PSG,weiblich,Ausland,5
2007/2008,Primar Mittelstufe,Altnau PSG,weiblich,Schweiz,40
2007/2008,Primar Mittelstufe,Amlikon PSG,männlich,Ausland,1
2007/2008,Primar Mittelstufe,Amlikon PSG,männlich,Schweiz,6
2007/2008,Primar Mittelstufe,Amlikon PSG,weiblich,Schweiz,8
2007/2008,Primar Mittelstufe,Amriswil PSG,männlich,Ausland,76
2007/2008,Primar Mittelstufe,Amriswil PSG,männlich,Schweiz,147
2007/2008,Primar Mittelstufe,Amriswil PSG,weiblich,Ausland,59
2007/2008,Primar Mittelstufe,Amriswil PSG,weiblich,Schweiz,145
2007/2008,Primar Mittelstufe,Arbon PSG,männlich,Ausland,77
2007/2008,Primar Mittelstufe,Arbon PSG,männlich,Schweiz,115
2007/2008,Primar Mittelstufe,Arbon PSG,weiblich,Ausland,58
2007/2008,Primar Mittelstufe,Arbon PSG,weiblich,Schweiz,96
2007/2008,Primar Mittelstufe,Arbon SSG,männlich,Ausland,3
2007/2008,Primar Mittelstufe,Arbon SSG,männlich,Schweiz,1
2007/2008,Primar Mittelstufe,Arbon SSG,weiblich,Ausland,1
2007/2008,Primar Mittelstufe,Arbon SSG,weiblich,Schweiz,1
2007/2008,Primar Mittelstufe,Ausland,männlich,Schweiz,1
2007/2008,Primar Mittelstufe,Ausland,weiblich,Ausland,1
2007/2008,Primar Mittelstufe,Berg-Birwinken VSG,männlich,Ausland,5
2007/2008,Primar Mittelstufe,Berg-Birwinken VSG,männlich,Schweiz,78
2007/2008,Primar Mittelstufe,Berg-Birwinken VSG,weiblich,Ausland,3
2007/2008,Primar Mittelstufe,Berg-Birwinken VSG,weiblich,Schweiz,77
2007/2008,Primar Mittelstufe,Berlingen PG,männlich,Ausland,1
